,attendance,away_conference,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,home_conference,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week,capacity,city,country_code,dome,elevation,grass,location,name,state,year_constructed,zip,rain,max_temp,min_temp,attendance_percentage,home_team_ranked_ind,away_team_ranked_ind
14,33386.0,Mid-American,"[14, 10, 7, 0]",31,0.4372825541652541,UMass,False,SEC,"[0, 20, 0, 14]",34,0.5627174458347459,Vanderbilt,400548109,False,2014,regular,2014-09-13,Vanderbilt Stadium,3973.0,3,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,82.74101610904584,0,0
15,34441.0,SEC,"[0, 17, 10, 21]",48,0.9949602920008666,South Carolina,True,SEC,"[14, 0, 10, 10]",34,0.005039707999133492,Vanderbilt,400548387,False,2014,regular,2014-09-20,Vanderbilt Stadium,3973.0,4,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,85.35563816604709,0,1
16,26738.0,,"[0, 10, 7, 3]",20,0.4499369070904875,Charleston Southern,False,SEC,"[3, 18, 0, 0]",21,0.5500630929095125,Vanderbilt,400548372,False,2014,regular,2014-10-11,Vanderbilt Stadium,3973.0,7,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,747.0,,,66.26517967781909,0,0
17,28966.0,Conference USA,"[7, 7, 7, 7]",28,0.0025264402425093646,Old Dominion,False,SEC,"[7, 21, 0, 14]",42,0.9974735597574906,Vanderbilt,400548065,False,2014,regular,2014-11-01,Vanderbilt Stadium,3973.0,10,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,8.0,,,71.78686493184634,0,0
18,35191.0,SEC,"[7, 10, 0, 17]",34,0.9838973680558938,Florida,True,SEC,"[7, 0, 0, 3]",10,0.01610263194410621,Vanderbilt,400548347,False,2014,regular,2014-11-08,Vanderbilt Stadium,3973.0,11,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,,,,87.21437422552665,0,0
19,40350.0,SEC,"[10, 7, 7, 0]",24,0.8452707049992679,Tennessee,True,SEC,"[0, 10, 7, 0]",17,0.15472929500073204,Vanderbilt,400548326,False,2014,regular,2014-11-29,Vanderbilt Stadium,3973.0,14,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,,,,100.0,0,0
20,30307.0,Conference USA,"[0, 0, 7, 7]",14,0.3096219840847605,Western Kentucky,False,SEC,"[0, 3, 0, 9]",12,0.6903780159152395,Vanderbilt,400603839,False,2015,regular,2015-09-03,Vanderbilt Stadium,3973.0,1,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,75.11028500619578,0,0
21,37185.0,SEC,"[7, 7, 10, 7]",31,0.9018383994483917,Georgia,True,SEC,"[0, 6, 0, 8]",14,0.0981616005516083,Vanderbilt,400603870,False,2015,regular,2015-09-12,Vanderbilt Stadium,3973.0,2,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,203.0,,,92.15613382899627,0,1
22,31399.0,,"[0, 7, 0, 0]",7,1.600901317633241e-05,Austin Peay,False,SEC,"[3, 16, 21, 7]",47,0.9999839909868237,Vanderbilt,400603859,False,2015,regular,2015-09-19,Vanderbilt Stadium,3973.0,3,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,77.81660470879802,0,0
23,31128.0,SEC,"[0, 3, 0, 0]",3,0.03024500140220454,Missouri,True,SEC,"[0, 7, 0, 3]",10,0.9697549985977955,Vanderbilt,400603891,False,2015,regular,2015-10-24,Vanderbilt Stadium,3973.0,8,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,5.0,,,77.1449814126394,0,0
